"ccode","county","province","eligible","Bartoszewicz","Biejat","Braun","Hołownia","Jakubiak","Maciak","Mentzen","Nawrocki","Senyszyn","Stanowski","Trzaskowski","Woch","Zandberg","eligible2","spoilt","N2","T2"
240400,"częstochowski","śląskie",104807,359,2612,4597,3346,516,117,10615,23886,686,883,18241,69,2755,104116,685,42073,30869
240500,"gliwicki","śląskie",85422,259,2041,3649,3227,403,92,8928,14820,589,804,17080,62,2508,84932,594,29360,27921
240600,"kłobucki","śląskie",65342,191,1504,3156,2001,311,92,6766,14290,386,522,10810,33,1704,65009,424,25704,18801
240700,"lubliniecki","śląskie",59054,227,1141,2737,1922,262,93,6600,10918,349,518,9683,50,1472,58879,402,21474,16271
240800,"mikołowski","śląskie",74394,347,1985,2905,3159,415,101,8531,13643,561,805,16747,71,2581,73879,551,26417,27608
240900,"myszkowski","śląskie",54062,172,1316,2608,1596,270,63,5258,11524,353,405,9280,31,1336,53688,354,20911,15826
241000,"pszczyński","śląskie",83109,304,1855,3633,3132,462,103,10980,20777,543,751,14421,74,2533,82342,607,37285,23975
241100,"raciborski","śląskie",77748,237,1463,2777,2543,310,74,7693,11827,390,542,13922,46,1692,77066,438,23414,22520
241200,"rybnicki","śląskie",57842,186,1217,2368,1839,267,80,7524,13767,295,482,9171,43,1410,57468,417,25097,15242
241300,"tarnogórski","śląskie",106622,362,2654,3904,4256,505,110,10215,18760,748,1003,23814,77,3206,106282,730,34803,38673
241400,"bieruńsko-lędziński","śląskie",44620,134,918,2098,1508,231,55,5804,11029,300,426,6980,26,1439,44220,338,20002,12165
241500,"wodzisławski","śląskie",114614,297,2479,4949,3569,551,130,13933,24823,612,848,19605,57,2727,113868,694,46594,31705
241600,"zawierciański","śląskie",89362,225,2414,3897,2540,372,141,8693,19121,615,575,16880,44,2295,88963,541,34241,27559
241700,"żywiecki","śląskie",115990,389,1940,5939,3442,567,145,13361,30887,586,851,17642,61,2784,115466,662,53045,29198
246100,"Bielsko-Biała","śląskie",123702,436,3580,4499,5096,692,169,11714,21907,925,1087,32358,66,4246,122604,799,39739,50441
246200,"Bytom","śląskie",106349,283,3168,3149,3465,412,117,9134,15552,749,881,22627,54,3490,105446,701,30333,37420
246300,"Chorzów","śląskie",72431,229,2567,2181,2770,278,73,5755,9218,631,783,17884,48,2832,71815,473,18692,29277
246400,"Częstochowa","śląskie",156573,537,4522,5565,4938,707,180,12312,28281,1110,1388,40895,90,4640,155709,995,48989,63400
246500,"Dąbrowa Górnicza","śląskie",86438,305,3569,2999,2776,340,114,6573,13334,664,817,23322,46,2930,85807,588,24280,36736
246600,"Gliwice","śląskie",127207,400,4110,4208,4963,607,150,11237,18464,1157,1185,35588,87,4999,125968,899,35889,55973
246700,"Jastrzębie-Zdrój","śląskie",62464,161,1513,2401,1724,262,77,6637,14422,302,431,10608,40,1669,61854,354,25700,17191
246800,"Jaworzno","śląskie",66205,195,2073,2637,2247,308,71,6277,11405,526,596,14996,33,2118,65534,411,21645,24395
246900,"Katowice","śląskie",214572,727,8504,6019,8328,967,249,16924,31639,2293,2118,61137,161,10923,213416,1582,58219,99760
247000,"Mysłowice","śląskie",52722,126,1586,1859,1881,245,70,5466,9765,454,535,11824,31,1708,52249,328,18231,19287
247100,"Piekary Śląskie","śląskie",39181,106,1013,1120,1347,176,43,3382,7549,287,346,8006,29,1267,38939,281,13450,13087
247200,"Ruda Śląska","śląskie",97038,260,2737,3119,3641,374,116,9716,16501,694,1023,19381,65,3073,96198,655,32071,32674
247300,"Rybnik","śląskie",97716,339,2584,3552,3487,491,137,11003,18799,555,819,20239,61,2840,97079,596,35389,32317
247400,"Siemianowice Śląskie","śląskie",47138,150,1689,1477,2137,194,60,3866,6711,368,427,11745,29,1623,46831,351,12950,19443
247500,"Sosnowiec","śląskie",142804,442,5595,4708,4400,599,174,10562,22084,1168,1318,38625,93,5078,141536,922,39928,60777
247600,"Świętochłowice","śląskie",33761,110,976,1084,1203,114,38,2791,4967,231,308,7297,21,1164,33473,202,9676,11782
247700,"Tychy","śląskie",89960,312,2782,3105,3437,471,70,8480,16456,712,920,22792,53,3342,89027,638,29861,35740
247800,"Zabrze","śląskie",115861,286,3210,3489,3666,435,117,10190,16004,873,921,23523,71,3607,114921,755,31920,39128
247900,"Żory","śląskie",45499,156,1172,1646,1469,211,41,5528,9017,298,402,9230,28,1368,45126,272,16831,15025
260100,"buski","świętokrzyskie",56826,148,1034,2784,1419,259,69,4882,15448,293,282,7825,24,1015,56704,295,25395,13006
260200,"jędrzejowski","świętokrzyskie",64770,171,1076,3292,1534,293,63,6566,18559,289,314,7506,37,1300,64472,274,31483,12730
260300,"kazimierski","świętokrzyskie",26005,54,395,1116,744,82,28,2469,6549,106,89,2653,6,434,25793,108,11196,4752
260400,"kielecki","świętokrzyskie",164693,440,2777,10097,4586,893,162,17981,47592,853,1219,18671,91,3841,163922,897,82526,33813
260500,"konecki","świętokrzyskie",60500,220,1262,2603,1658,358,73,5083,16850,317,453,8225,24,1133,59949,331,27324,13851
260600,"opatowski","świętokrzyskie",39319,109,660,2078,871,149,64,3960,10731,216,172,3701,33,616,38910,239,18704,6353
260700,"ostrowiecki","świętokrzyskie",78585,199,1813,3687,1872,339,102,5796,16740,368,470,13788,38,1500,77392,421,28540,21339
260800,"pińczowski","świętokrzyskie",30401,62,555,1532,655,139,38,2794,7588,145,151,3800,12,510,30284,126,13237,6508
